model,library,term,n_positive,auroc,auprc,shuffled_auroc
Txn_Jatin_epoch7,GO_BP,external encapsulating structure organization (GO:0045229),199,0.9435750579176507,0.6706124371857857,0.5142387885977773
Txn_Jatin_epoch7,GO_BP,extracellular structure organization (GO:0043062),199,0.9419879184340411,0.6703244922097789,0.49001550066591315
Txn_Jatin_epoch7,GO_BP,axon guidance (GO:0007411),197,0.8947041389810271,0.3608405860977228,0.4901522136147996
Txn_Jatin_epoch7,GO_BP,"transcription, DNA-templated (GO:0006351)",194,0.8235684606231185,0.08513581575388368,0.509810777797144
Txn_Jatin_epoch7,GO_BP,generation of neurons (GO:0048699),193,0.7791813947318523,0.234886410345424,0.5106881956555122
Txn_Jatin_epoch7,GO_BP,negative regulation of multicellular organismal process (GO:0051241),191,0.7376126076911199,0.0477700193359181,0.49786293036386997
Txn_Jatin_epoch7,GO_BP,positive regulation of cell motility (GO:2000147),191,0.768605033986254,0.17995843082779675,0.5000302278084183
Txn_Jatin_epoch7,GO_BP,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),191,0.760583374851046,0.15619132778257183,0.5350070798625982
Txn_Jatin_epoch7,GO_BP,positive regulation of protein modification process (GO:0031401),190,0.7171088324553472,0.1283483510929302,0.48763375713401885
s66qfh36_best,GO_BP,regulation of transcription by RNA polymerase II (GO:0006357),1610,0.7159005156569005,0.2584295370273001,0.4979400808311486
s66qfh36_best,GO_BP,"regulation of transcription, DNA-templated (GO:0006355)",1578,0.7170693618984026,0.251434536877347,0.4945991884914611
s66qfh36_best,GO_BP,"positive regulation of transcription, DNA-templated (GO:0045893)",1048,0.6622255276571452,0.14851687275234884,0.4894753722355136
s66qfh36_best,GO_BP,cellular protein modification process (GO:0006464),935,0.6288383263036328,0.09871772990214821,0.5004375517812759
s66qfh36_best,GO_BP,regulation of gene expression (GO:0010468),850,0.6365265085402829,0.10090349073457942,0.5182275321734731
s66qfh36_best,GO_BP,positive regulation of transcription by RNA polymerase II (GO:0045944),815,0.67968830858289,0.1294040938782793,0.4996144676780979
s66qfh36_best,GO_BP,"negative regulation of transcription, DNA-templated (GO:0045892)",762,0.6838800369982727,0.12600097991946618,0.49137118906858845
s66qfh36_best,GO_BP,regulation of cell population proliferation (GO:0042127),657,0.6629952061906998,0.09648795505881647,0.5190153706092766
s66qfh36_best,GO_BP,regulation of apoptotic process (GO:0042981),628,0.6420223032750068,0.07391334873836711,0.5122388359106078
s66qfh36_best,GO_BP,negative regulation of transcription by RNA polymerase II (GO:0000122),538,0.6969114163677417,0.10644428856042482,0.5023649895688723
s66qfh36_best,GO_BP,positive regulation of cellular process (GO:0048522),537,0.6572374175582784,0.0785848447215253,0.49423780645623705
s66qfh36_best,GO_BP,negative regulation of cellular process (GO:0048523),483,0.6374881441901681,0.06316584178065333,0.49754100360863507
