gene_symbol,importance
SCARA5,0.0011521521177316788
SLC26A7,0.0011330378936886517
HGH1,0.0011290988841590691
SAP30,0.0011251182681475123
EMX1,0.0011022534026327302
CLDN8,0.001099423308749003
PNCK,0.0010987917598007599
TRIM11,0.0010911798103464363
DDX41,0.0010890858041434379
CENPU,0.0010793550529680626
HPCA,0.0010728110208534103
PLXNA4,0.0010596715112297316
PYGO1,0.0010537122763044447
NDNF,0.0010401542297935838
IRX1,0.0010369304690523466
OXGR1,0.0010132345173728104
TTPA,0.0010114389830488913
SERTM1,0.0010068411813289732
ECHDC1,0.001004689971906767
GABRD,0.0009993652910668482
PAFAH1B3,0.0009813041724925525
ADAMTS8,0.0009640248013323895
RIT1,0.000963244263442285
SLC6A3,0.0009586627007438377
KISS1R,0.0009491861146885259
DMRT2,0.0009464788262859105
COL11A1,0.0009443941275803506
SALL4,0.0009424976757212389
ANXA3,0.0009385921144887749
ADRB1,0.0009297256762786547
CYYR1,0.0009285351477418787
ANGPTL4,0.000905613973275838
FKBP10,0.0008888798766849494
CNN1,0.0008861202215015662
AQP6,0.0008828181919472082
CTNNAL1,0.0008775025861653774
RAD54L,0.0008590611037042656
IGF2BP2,0.0008429551220885029
PTGER4,0.0008315407082654452
IGFBP3,0.0008280524284599505
PEAR1,0.000826613372840519
NPR1,0.0008198635699446046
GRB10,0.0008195907554353184
TMEM47,0.0008149601295879621
MUC15,0.0008140207245390664
EFEMP1,0.0008054446632024254
ANGPTL1,0.0008034500998010384
CAPZA3,0.0007976046271953263
KCNMB1,0.0007957336199278239
SLC15A4,0.0007914194211327908
STXBP6,0.0007719990140474048
PRKAR2B,0.0007591426576114251
EGLN3,0.000753354688384849
TMEM220,0.0007523750853455784
SMPDL3A,0.0007523100197222366
OXTR,0.0007458681683635268
PCARE,0.0007428891802503149
CNTN1,0.0007417791018405225
BCKDK,0.0007391035469685277
RBP4,0.0007334846724141845
RBPMS,0.0007195504655917201
SH3BP2,0.0007160039774432766
GAS2L3,0.0007159436409271414
ROBO4,0.0007099040357727768
MTCP1,0.0007068018562848552
SMYD3,0.0007053386336221145
CCNB1,0.0007007227214866152
CDK1,0.0006943439159808048
CDO1,0.000693246800033507
FGF9,0.0006927561554275087
MAMDC2,0.0006881363599822907
CDC20,0.0006878723336361987
SCAMP3,0.0006872508229314716
HPSE2,0.0006835603966393527
RGS5,0.0006825583542927515
FBXO17,0.0006764579846282934
FLAD1,0.0006703117805734306
TMEM91,0.0006663585612273299
NMUR1,0.0006659156305913402
ORAI3,0.0006629543434941396
ABCC3,0.0006573510635087326
HOMER3,0.0006560648587332741
GDF10,0.0006550919468964247
CDK18,0.0006545301632093668
EGR2,0.0006521645245646444
PLD5,0.0006487710577562874
SCPEP1,0.0006474843096424546
UPP2,0.0006414219228057342
MRAP2,0.0006399397447677578
ENTPD3,0.0006378818832015815
NLGN1,0.0006338754758023485
ASPHD1,0.0006322021786122566
PALMD,0.0006294735921687371
CHL1,0.0006294475694750276
ANO5,0.0006265145814472098
ADAMTS14,0.0006251689933850342
IGSF10,0.0006237217358088069
IL20RA,0.0006234826449479997
VEGFA,0.0006213120005026312
KCNA1,0.0006173729519021431
LDHA,0.0006106105816257372
HSF4,0.0006081627708488988
FAM124A,0.0006058173543041837
NAP1L2,0.0006053506724583263
RABIF,0.0005998897633359323
MRPL17,0.0005990729066741202
F12,0.0005985352032613079
PDGFRA,0.0005977282834580283
EFNA3,0.0005931186209850733
GAL3ST1,0.0005904326832972309
PIGR,0.0005892371372098756
KCNK9,0.0005778399175183531
ITPKA,0.0005694899647196126
ADAM28,0.0005625361126987816
MMP13,0.0005564158525049459
RNF212,0.0005440404182923106
RMI2,0.0005395517674566981
CGNL1,0.0005389056332822362
TMEM88,0.000536634107357287
RGS14,0.0005232747551447361
SLC7A4,0.0005224944563727312
CIDEC,0.000518026178405001
DLX5,0.0005159311628268998
MPI,0.0005099984173124707
FHL5,0.0004976123632672778
LMO3,0.000489189910995502
SH3GL1,0.0004880499601136843
CYRIA,0.0004863875184608671
MATN2,0.0004836344955658853
ADH4,0.00047955079311291115
PLIN2,0.00047880296557623373
PHKA2,0.0004781971696912078
PRR7,0.00047815438009103124
PIK3R5,0.0004776274027573838
PTPRQ,0.00047332142399470747
TGFA,0.0004732183904578364
EDNRB,0.0004724601796727678
CBX8,0.0004671751555892812
GJB2,0.00046644081180395483
RECK,0.0004652308165532772
WSCD2,0.0004637996786263022
TBX3,0.00046083547997318277
MYO3A,0.00045960224034407795
THSD4,0.0004593656830467901
BTC,0.00045827940360633636
TMEM132C,0.00044987940833484644
DCN,0.000449638144386486
GLIPR2,0.0004492892793848211
CD34,0.0004488061874151545
INTS8,0.00044755910988082605
RASSF9,0.0004465482372902481
HSD17B6,0.0004464474581704677
TMPRSS2,0.0004462095424598045
FGF2,0.0004400665608179092
DRD2,0.0004386284094491824
FTMT,0.00043736999449670824
TSHZ2,0.0004348364069639521
LIN7A,0.00043405443604405987
ARHGAP29,0.00043258269260348193
KIFC2,0.0004285485372679888
HAGHL,0.0004230852748728504
SLC2A1,0.00042217321553439315
ITM2A,0.0004185295066733126
SPHKAP,0.00041740179438531433
NFKBIE,0.0004170384463547364
RPRM,0.0004147429470832874
EDN3,0.00041388839901500485
MMP27,0.00041275670825294714
MTFP1,0.0004104007907400344
SMYD1,0.0004098084288795489
ALS2CL,0.0004086317134635723
TMEM35A,0.0004068003087514354
CYP39A1,0.0004053361898946914
NXPH4,0.000404680490385711
PTK6,0.0004039790853844553
UST,0.000400519502092079
SGCG,0.00040045376593012574
AVPR1B,0.00039989568032513845
ADAMTS5,0.00039684509683953563
CARD14,0.0003937796839099169
SLC25A35,0.00039335817483038884
MYLK,0.0003894267365423315
ACBD6,0.00038700820922865615
TIMM50,0.00038487825952756677
SLC16A7,0.0003846055352513934
PGF,0.00038287706340336654
PPARG,0.00037823302051498474
DGAT2,0.00037670811818305217
SLIT3,0.00037527098770266193
HTR6,0.00037262541538872886
B4GALT7,0.0003723351008891964
AIF1L,0.0003685090293823822
HMGB3,0.000367701565902926
CLDN11,0.00036716394244525817
LIPE,0.0003665422977392028
TFR2,0.00036592734862165335
NRIP2,0.00036502306882818736
FBXL19,0.0003645897026873029
LAMP5,0.00036395507989008284
