benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
NG intersect concat,AUROC,11/11,complete,0.7854758421256167,0.7881925701050339,0.7497801297745,0.5415463292568626,0.5700102170477707,0.5563896941938321,0.5633011242336577,0.5501588590980242,0.5230734124100535,0.5520801797085281,0.6238451080707614
NG intersect concat,AUPRC,11/11,complete,0.4582301892548407,0.4558639702931441,0.3773938025361034,0.1389071517461495,0.1496363771206494,0.1506811523573462,0.1649351806351044,0.1340055496472842,0.1246002584167704,0.1418431011829858,0.1769545268980698
NG intersect concat,PR@10,11/11,complete,0.6999999999999998,0.7666666666666666,0.6,0.3333333333333333,0.2333333333333333,0.3666666666666667,0.2666666666666666,0.2333333333333333,0.1666666666666666,0.2333333333333333,0.2333333333333333
NG intersect product,AUROC,11/11,complete,0.6761328189487417,0.6682112494276958,0.6780256081188966,0.5115493498973772,0.5664598579806869,0.595200466515676,0.5691727470877156,0.5416437729144993,0.5376469980217049,0.5563393730697107,0.657879846703382
NG intersect product,AUPRC,11/11,complete,0.302804730946192,0.298918422241032,0.3170420583734391,0.156156253119777,0.2320161353024366,0.2256528496369886,0.1601219359541311,0.1366996848676934,0.1310040208916022,0.1404886035304772,0.1912223915563007
NG intersect product,PR@10,11/11,complete,0.9333333333333332,0.8333333333333334,0.9333333333333332,0.3,1.0,1.0,0.3333333333333333,0.2333333333333333,0.2,0.0333333333333333,0.1333333333333333
NG intersect sum,AUROC,11/11,complete,0.7543410668307683,0.7725818995833742,0.7192217552045231,0.5170797287468966,0.592667289664405,0.5696852373852606,0.4847165460954268,0.4724486640069392,0.5032213696090208,0.5423146888312084,0.6247059676581488
NG intersect sum,AUPRC,11/11,complete,0.3989995876400631,0.4256832588709924,0.3471110275243297,0.1574061823264061,0.2304003141211248,0.1631654255547246,0.129156334664586,0.1078402395590996,0.1225998822205991,0.1375684738857636,0.1829652082954661
NG intersect sum,PR@10,11/11,complete,0.7333333333333334,0.7999999999999999,0.6,0.6000000000000001,0.9,0.6333333333333333,0.2333333333333333,0.0666666666666666,0.0666666666666666,0.1666666666666666,0.2666666666666666
POMBE all_genes concat,AUROC,11/11,complete,0.6393399114118802,0.6352795219416469,0.6327937218217964,0.5159085996956104,0.5548122604256022,0.5176895746412494,0.5452575617639672,0.525563956355608,0.523118490892317,0.5446201370906886,0.5616398494778451
POMBE all_genes concat,AUPRC,11/11,complete,0.1418400566214074,0.1413367317162267,0.1307684982050465,0.0945875875398768,0.1108870374802135,0.0914849036573444,0.104723890078969,0.0995375516259174,0.0971781637031825,0.1028515192828966,0.1084344071343473
POMBE all_genes concat,PR@10,11/11,complete,0.1333333333333333,0.1333333333333333,0.1,0.0666666666666666,0.1,0.1,0.1666666666666666,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.0333333333333333
POMBE all_genes product,AUROC,11/11,complete,0.5795560904396968,0.580054188483211,0.5878015668037491,0.519419911945841,0.5235197115633042,0.4974522878195186,0.5536291937922216,0.5382946159983829,0.5468822159386448,0.553201720722231,0.5576154138065591
POMBE all_genes product,AUPRC,11/11,complete,0.1128482969651332,0.1138596472882399,0.1170968007230215,0.0963543383658139,0.0996438281309969,0.090630984563766,0.1051047541229949,0.0998988552253233,0.1006806538521511,0.1078343918624332,0.1076768824448185
POMBE all_genes product,PR@10,11/11,complete,0.1,0.1,0.0999999999999999,0.0,0.1,0.0333333333333333,0.1666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0333333333333333
POMBE all_genes sum,AUROC,11/11,complete,0.6439538181216484,0.6236845769165184,0.6398644263158283,0.4900480960702607,0.565004077215305,0.5227279830220871,0.5453234142116948,0.5290102247185757,0.5518841183046234,0.5523090228904053,0.5727536115361791
POMBE all_genes sum,AUPRC,11/11,complete,0.1496480434690113,0.1384989611456088,0.1451270160168027,0.0921711462663671,0.1163022936351844,0.0941887057395135,0.1026622458838236,0.0967163055832637,0.1023462002736178,0.10597240283488,0.1135480119953274
POMBE all_genes sum,PR@10,11/11,complete,0.1333333333333333,0.1,0.2333333333333333,0.1333333333333333,0.1333333333333333,0.0333333333333333,0.0666666666666666,0.0666666666666666,0.1,0.0666666666666666,0.1333333333333333
