index,model,panel,gene_symbol,mean,std
2667,BulkFormer_37M,2_cancer,COX7A1,0.0020789629463524,0.0016872434330785018
2545,BulkFormer_37M,2_cancer,COCH,0.0020787835242990333,0.0018382283503137998
5179,BulkFormer_37M,2_cancer,GRK5,0.0020571297157913667,0.0033158076009718205
394,BulkFormer_37M,2_cancer,AGRP,0.0020411410746108663,0.0017855826909802348
5211,BulkFormer_37M,2_cancer,GSN,0.0020350941961595,0.0035248865459367976
1830,BulkFormer_37M,2_cancer,CCM2L,0.002031391024442,0.0033420482922843
8247,BulkFormer_37M,2_cancer,NLRC4,0.0020109811291673333,0.001380894215068566
3874,BulkFormer_37M,2_cancer,EPB41L3,0.0019945278261981614,0.003392155431490863
4428,BulkFormer_37M,2_cancer,FLI1,0.0019840729007150003,0.0032692102412079193
9422,BulkFormer_37M,2_cancer,PLIN5,0.0019839427119242,0.003436289576358699
12142,BulkFormer_37M,2_cancer,SPN,0.0019801936359423334,0.0014174196690268258
2282,BulkFormer_37M,2_cancer,CHRNA2,0.001974412381536133,0.003102014599639605
10959,BulkFormer_37M,2_cancer,S1PR4,0.001973220939815605,0.0017027260812293812
4379,BulkFormer_37M,2_cancer,FGL2,0.001967470430787767,0.0017076158346060841
9146,BulkFormer_37M,2_cancer,PHACTR1,0.0019624126561940333,0.0013968593991149397
9278,BulkFormer_37M,2_cancer,PIP5K1B,0.0019607808561151667,0.0017027821051754394
2094,BulkFormer_37M,2_cancer,CENPA,0.0019599145044853,0.0030174021273024474
10312,BulkFormer_37M,2_cancer,RASGRP4,0.0019596316801115334,0.0033941816340747367
793,BulkFormer_37M,2_cancer,ARHGAP24,0.0019591702422301,0.0033933824002195575
5644,BulkFormer_37M,2_cancer,HSPB6,0.0019571998293326,0.0016951969441076427
1708,BulkFormer_37M,2_cancer,CCBE1,0.0019569076788160666,0.0014034818447521183
11346,BulkFormer_37M,2_cancer,SH3BP5,0.0019514106152358334,0.003379942332017705
13331,BulkFormer_37M,2_cancer,TOP2A,0.0019493998466038,0.0015622767159263937
10050,BulkFormer_37M,2_cancer,PTPN21,0.0019484548247024334,0.003374822752637325
7810,BulkFormer_37M,2_cancer,MYCT1,0.0019474956885373667,0.001539775214176325
3420,BulkFormer_37M,2_cancer,DOK2,0.0019451608258054334,0.001482299784095002
8218,BulkFormer_37M,2_cancer,NKAPL,0.0019349397343172807,0.0016247521385585736
11524,BulkFormer_37M,2_cancer,SLC1A3,0.0019308267346855,0.0016839757858160631
9423,BulkFormer_37M,2_cancer,PLK1,0.001925548185237367,0.0031650902954673235
9337,BulkFormer_37M,2_cancer,PLA2G4C,0.0019218899090246,0.0033288109689845343
88,BulkFormer_37M,2_cancer,ABI3BP,0.0019206025294703332,0.0016746746582071933
564,BulkFormer_37M,2_cancer,ANGPTL1,0.0019197081291640681,0.0033144212469101357
1847,BulkFormer_37M,2_cancer,CCNE1,0.001919694345307129,0.001664585084664706
13739,BulkFormer_37M,2_cancer,TYROBP,0.0019149098117202668,0.003316721085811655
2996,BulkFormer_37M,2_cancer,CYYR1,0.0019128486469830407,0.0015772322918826442
2778,BulkFormer_37M,2_cancer,CRTAC1,0.0019110090814502998,0.001521821405074557
8553,BulkFormer_37M,2_cancer,NXPH3,0.0019108457150415334,0.001654842011686096
9915,BulkFormer_37M,2_cancer,PRX,0.0018879592971341333,0.0016376943727863106
11738,BulkFormer_37M,2_cancer,SLC51B,0.0018787347920962668,0.0029929417777699776
2520,BulkFormer_37M,2_cancer,CNRIP1,0.0018765672354825334,0.003250309795674817
2397,BulkFormer_37M,2_cancer,CLEC1A,0.0018703875043652337,0.0016204237617912292
12838,BulkFormer_37M,2_cancer,TGFBR2,0.0018653620907055333,0.0016157562198668807
11257,BulkFormer_37M,2_cancer,SERTM1,0.0018626257316397999,0.0016146879122507487
3259,BulkFormer_37M,2_cancer,DKC1,0.0018593106745444666,0.001610216835284552
2386,BulkFormer_37M,2_cancer,CLDN5,0.0018410195805976333,0.003188739451324246
7486,BulkFormer_37M,2_cancer,MMRN1,0.001840161683584967,0.0016093913477168641
1328,BulkFormer_37M,2_cancer,BIRC5,0.0018324230709925334,0.0014000602034085323
7371,BulkFormer_37M,2_cancer,MGLL,0.0018283037917234332,0.003166715058935813
7350,BulkFormer_37M,2_cancer,MFNG,0.0018269879138244,0.001582230858483439
2660,BulkFormer_37M,2_cancer,COX4I2,0.0018151087850062336,0.0015720197762291597
9330,BulkFormer_37M,2_cancer,PLA2G1B,0.0018141581498391332,0.0015739726997779327
10026,BulkFormer_37M,2_cancer,PTH1R,0.0018137738636540002,0.001571372532389943
10929,BulkFormer_37M,2_cancer,RXFP1,0.0018088678006996331,0.0015672174937645554
9732,BulkFormer_37M,2_cancer,PRAM1,0.0018063591663901666,0.003030381655908197
9004,BulkFormer_37M,2_cancer,PDE7B,0.0017963403060847333,0.003111352677822586
1978,BulkFormer_37M,2_cancer,CDCA5,0.0017813483038467335,0.0030853857682391845
635,BulkFormer_37M,2_cancer,ANLN,0.0017711527604854253,0.002990736694102962
154,BulkFormer_37M,2_cancer,ACOXL,0.0017700479321841333,0.0015435736771758203
