gene_symbol,discovery_variance,discovery_detection_rate,panel_score,excluded_signature_gene
PDE6G,0.47520363,0.8861955628594905,0.4473470091609735,True
RORA,0.4722434,0.8968775677896467,0.4472315944396299,True
ALDH1B1,0.4473321,0.9991783073130649,0.44714829144873425,False
NXPE3,0.44879916,0.9921939194741167,0.4470440500506394,False
USP53,0.44888082,0.9909613804437141,0.446847585139393,False
GOLGA4,0.44670478,1.0,0.44670477509498596,False
SDF2L1,0.4467559,0.9995891536565324,0.4466641026385809,False
GTSF1,0.88843894,0.25267050123253904,0.446585744954164,False
SLC37A1,0.44871792,0.990139687756779,0.44650019214210634,False
ALDH5A1,0.4495315,0.985620377978636,0.4462877458767643,False
MGAT5B,0.799703,0.3114215283483977,0.44627549684820955,False
SH3PXD2A,0.4463334,0.9995891536565324,0.44624171171204247,False
LMCD1,0.44672588,0.9971240755957272,0.4460830376953136,False
BMX,0.6177746,0.5213640098603123,0.4460674939972809,False
SH3KBP1,0.4461498,0.9995891536565324,0.4460581373258684,False
FAH,0.44595173,1.0,0.4459517300128937,False
WFDC5,0.9969043,0.20008216926869352,0.4459207366743388,False
PHACTR1,0.5899529,0.571076417419885,0.4458250256800949,False
ARHGAP45,0.4461666,0.9983566146261298,0.4457998421760012,False
PRRC2B,0.44573018,0.9995891536565324,0.44563860683449835,False
OSBPL3,0.4464051,0.9958915365653246,0.4454871493768515,False
TDO2,0.5505009,0.6540673788003287,0.4452145010194807,False
KLHL5,0.44549385,0.9983566146261298,0.4451276375777451,False
DCLK2,0.45963576,0.9375513557929335,0.4450526045538682,False
GDF11,0.4467515,0.9917830731306492,0.4449122568777043,False
RASGRP2,0.4941494,0.8105998356614627,0.44489908906630204,False
ARGLU1,0.44479594,1.0,0.4447959363460541,False
FCHO2,0.44541964,0.9971240755957272,0.44477868157517475,False
LONRF3,0.54856896,0.6569433032046015,0.44462633084949066,False
MS4A2,0.59515333,0.5579293344289236,0.44454780192629667,False
TMEM145,0.675828,0.4326211996713229,0.44451873189392216,False
YPEL2,0.44568187,0.9946589975349219,0.4444900825351119,False
B3GNT9,0.44548613,0.995480690221857,0.44447834351002513,False
DMRTA1,0.6012753,0.5464256368118324,0.44446637915747067,False
CECR2,0.6616811,0.45110928512736237,0.4444159355499596,False
KLF7,0.4456085,0.9942481511914544,0.4443251121959242,True
PIK3CG,0.46700424,0.9050944946589975,0.4442912751881493,False
GALNT17,0.6801696,0.4260476581758422,0.44396250925554287,False
HMGB2,0.44390503,1.0,0.4439050257205963,True
PTPN21,0.4467498,0.9872637633525062,0.44389573411982375,False
MASP1,0.8204481,0.29252259654889073,0.4437422935714814,False
PCDHGA12,0.58853054,0.5682004930156122,0.44362887680504987,False
TUSC1,0.44398707,0.9983566146261298,0.44362210057574136,False
MAP3K9,0.4794927,0.8553820870994249,0.4434677781713683,False
GNPNAT1,0.4439591,0.9975349219391948,0.4434115525935645,False
DYNC2H1,0.46209028,0.919884963023829,0.4431937186595359,False
TMEM154,0.48773488,0.8253903040262942,0.44311198832717313,False
PBX3,0.4432173,0.9991783073130649,0.4430351756973538,False
RCC1,0.4429736,1.0,0.44297361373901367,False
ABHD11,0.44292757,1.0,0.4429275691509247,False
DAGLA,0.4538666,0.9519309778142975,0.4428238007211156,False
DOCK9,0.44308084,0.9987674609695973,0.44280770108865425,False
PLEC,0.44278663,1.0,0.44278663396835327,False
ZFP36L1,0.4427395,1.0,0.44273948669433594,False
ZYG11A,0.6062088,0.533278553820871,0.4426895769255861,False
DAAM1,0.44345543,0.9963023829087921,0.4426348044099992,False
TMEM144,0.4497149,0.9683648315529991,0.4425443294767039,False
OPHN1,0.44788957,0.9753492193919474,0.44233470618400056,False
AOPEP,0.44312117,0.9958915365653246,0.4422099546033483,False
ALG3,0.4421359,1.0,0.44213590025901794,False
RASGRF1,0.72989905,0.36647493837304845,0.4418602540541434,False
UNC13B,0.4420656,0.9987674609695973,0.4417930810322106,False
NIPAL1,0.5574891,0.6277732128184059,0.44171054610727034,False
MAMDC4,0.47974256,0.8475760065735415,0.4416696656162613,False
FMNL1,0.4429206,0.9942481511914544,0.44164495228610107,False
FLT3,0.63961875,0.47658175842235007,0.44156017517220897,False
CARD6,0.4430039,0.9913722267871816,0.44108868439326643,False
CYTH4,0.44344583,0.9884963023829088,0.4408878202325913,False
TRIM47,0.44076073,1.0,0.4407607316970825,False
FBXO45,0.44075426,0.9995891536565324,0.44066371415260164,False
ADGRB1,0.6908925,0.4067378800328677,0.4406236458204359,False
LMNA,0.44058967,1.0,0.44058966636657715,True
SAP30,0.44045377,1.0,0.44045376777648926,True
