pathway,cohort,responders,nonresponders,mean_responder,mean_nonresponder,hedges_g,variance,auc_responder_higher,p_value,q_value_within_cohort
Apoptosis,Rose,16,73,3.9818249375,3.991370008219179,-0.05291265407477032,0.07621472064825778,0.4845890410958904,0.8516794061014448,0.9957375828846027
Notch Signaling,Gide,40,33,2.3275991525000004,2.2452841363636367,0.21702488952043933,0.05563471905423706,0.5643939393939394,0.3489750576542936,0.7278036133956902
Notch Signaling,Riaz,10,41,3.0806307100000003,3.1048106097560977,-0.0830661570659552,0.12446065192743602,0.4634146341463415,0.730842364952317,0.9905355168228513
Notch Signaling,Hugo,14,12,1.7704457928571433,1.513269345833333,0.34327998140352617,0.15721692862924655,0.6547619047619048,0.18966239976414567,0.3968973029077809
Notch Signaling,Rose,16,73,3.56214108125,3.63931964109589,-0.43897757944643,0.07730610896030037,0.3219178082191781,0.02662296774631393,0.44009613708326495
Adipogenesis,Gide,40,33,2.8396155575,2.7587673606060608,0.17700404276997303,0.05552366714216351,0.5318181818181819,0.6455328984254765,0.7278036133956902
Adipogenesis,Riaz,10,41,3.7715308500000004,3.775274356097561,-0.018044333617891085,0.12439356633076264,0.4219512195121951,0.4548694138416344,0.9905355168228513
Adipogenesis,Hugo,14,12,2.2585470214285714,1.9189084833333334,0.4270389043362301,0.15856111779975243,0.6785714285714286,0.12918685117545492,0.3968973029077809
Adipogenesis,Rose,16,73,3.77769430625,3.822818672602739,-0.3003950516919412,0.07671723466044035,0.4058219178082192,0.24202676712422944,0.7118434327183218
Estrogen Response Early,Gide,40,33,1.9327560565,1.8747135848484848,0.1536316373595595,0.05546924635935269,0.5378787878787878,0.5832477354324594,0.7278036133956902
Estrogen Response Early,Riaz,10,41,2.5353365400000003,2.5815245536585367,-0.17906565373252425,0.1247174327631192,0.424390243902439,0.46931307672734435,0.9905355168228513
Estrogen Response Early,Hugo,14,12,1.4138377585714286,1.1546260425000001,0.42118180360435187,0.15845761542205924,0.6607142857142857,0.1728784373144301,0.3968973029077809
Estrogen Response Early,Rose,16,73,3.4193524374999997,3.4283875205479455,-0.056121156374202626,0.07621673119556548,0.4922945205479452,0.9276380481717679,0.9957375828846027
Estrogen Response Late,Gide,40,33,1.9256620649999998,1.8679361830303032,0.15445732074257315,0.05547103779550196,0.5181818181818182,0.7945022017642863,0.8276064601711316
Estrogen Response Late,Riaz,10,41,2.58243384,2.647668336585366,-0.2643981441049813,0.12510357429637942,0.424390243902439,0.46931307672734435,0.9905355168228513
Estrogen Response Late,Hugo,14,12,1.4614583742857141,1.2160627358333336,0.4121494619638462,0.1583008043243441,0.6845238095238095,0.11670603415252188,0.3968973029077809
Estrogen Response Late,Rose,16,73,3.35890819375,3.358845024657534,0.00041879906039179023,0.07619863114499005,0.4957191780821918,0.961652838227071,0.9957375828846027
Androgen Response,Gide,40,33,3.0180719125,2.884402584848485,0.2736555974816376,0.05583040626100941,0.5848484848484848,0.21651760190762925,0.6766175059613414
Androgen Response,Riaz,10,41,3.58094639,3.598392480487805,-0.06940460696069212,0.12443939695822849,0.43414634146341463,0.5295460123379685,0.9905355168228513
Androgen Response,Hugo,14,12,2.0222911428571426,1.6977024908333334,0.43017606280878284,0.15861714319968948,0.6309523809523809,0.2687954862687779,0.3968973029077809
Androgen Response,Rose,16,73,4.02689751875,4.045395716438357,-0.0889346504754778,0.07624408629822306,0.5162671232876712,0.8433107726547779,0.9957375828846027
Myogenesis,Gide,40,33,2.23810723,2.172289363636363,0.1447306840383979,0.05545054418262342,0.5295454545454545,0.669579324324035,0.7278036133956902
Myogenesis,Riaz,10,41,2.47522048,2.527209075609756,-0.19116359022436913,0.12476313694557647,0.4585365853658537,0.6954615295232163,0.9905355168228513
Myogenesis,Hugo,14,12,1.4638467335714285,1.325394365,0.23384342817944676,0.15590112869737802,0.6309523809523809,0.2687954862687779,0.3968973029077809
Myogenesis,Rose,16,73,2.9759260750000003,3.0919891150684933,-0.4552474817301843,0.07738972364055914,0.3732876712328767,0.1150393902040682,0.49618375715632607
Protein Secretion,Gide,40,33,3.4684318125000004,3.366351190909091,0.19210197375728813,0.05556291177008274,0.553030303030303,0.4411085928481244,0.7278036133956902
Protein Secretion,Riaz,10,41,4.00499324,4.0279550878048775,-0.09018440934495141,0.1244732360217135,0.44634146341463415,0.6099977304651785,0.9905355168228513
Protein Secretion,Hugo,14,12,2.3268967928571427,1.9877306916666668,0.4036939737186877,0.1581570886039211,0.6309523809523809,0.2687954862687779,0.3968973029077809
Protein Secretion,Rose,16,73,4.24937064375,4.280782171232876,-0.13761388575570196,0.07630746681257701,0.4871575342465753,0.8768820068722133,0.9957375828846027
Interferon Alpha Response,Gide,40,33,2.9280869975000003,2.4680664833333332,0.8002936946862613,0.059813382399893596,0.7393939393939394,0.00047064215482954606,0.013331026025900743
Interferon Alpha Response,Riaz,10,41,3.57785186,3.520792480487805,0.10351691435838646,0.12449958830609496,0.524390243902439,0.8216815483122569,0.9905355168228513
Interferon Alpha Response,Hugo,14,12,2.0058005285714287,1.6588373041666669,0.40953634015088797,0.15825607171824194,0.6130952380952381,0.3413316805006916,0.3968973029077809
Interferon Alpha Response,Rose,16,73,3.90801046875,3.6797342945205482,0.5774937895968681,0.07811529149918717,0.6806506849315068,0.024509006625172657,0.44009613708326495
Interferon Gamma Response,Gide,40,33,2.852970795,2.419775222727273,0.774841117884549,0.05953104972531606,0.7310606060606061,0.0007381294496297642,0.013331026025900743
Interferon Gamma Response,Riaz,10,41,3.4426054200000005,3.2643576414634143,0.3360650815797293,0.12554269021934913,0.5853658536585366,0.4130745021380019,0.9905355168228513
Interferon Gamma Response,Hugo,14,12,1.8241782642857147,1.5189260583333333,0.37683912813418025,0.15772039910550745,0.6428571428571429,0.22677444192278584,0.3968973029077809
Interferon Gamma Response,Rose,16,73,3.7152417562499997,3.5858346534246577,0.3748821599961975,0.07700631194091397,0.6190068493150684,0.1389314520037713,0.49618375715632607
Apical Junction,Gide,40,33,2.451610005,2.3914748203030305,0.1373825665278561,0.05543594558180341,0.5401515151515152,0.5606351743335226,0.7278036133956902
Apical Junction,Riaz,10,41,2.66144848,2.68001583902439,-0.06549987983323954,0.12443402180303258,0.4951219512195122,0.9716118765704688,0.9905355168228513
Apical Junction,Hugo,14,12,1.5374615500000002,1.3819711866666664,0.23205376590233506,0.15588375789251843,0.625,0.29169697358948865,0.3968973029077809
Apical Junction,Rose,16,73,3.36067405,3.4340279890410956,-0.4027937394417969,0.07713106000212139,0.3741438356164384,0.1175227313756185,0.49618375715632607
Apical Surface,Gide,40,33,1.8774955534999997,1.8009769675757576,0.2163082417940288,0.055632532102100896,0.5393939393939394,0.5681253661911837,0.7278036133956902
Apical Surface,Riaz,10,41,2.4333353300000002,2.4293952219512196,0.01528772557025495,0.12439262874481771,0.526829268292683,0.8032778416931206,0.9905355168228513
Apical Surface,Hugo,14,12,1.3735394992857146,1.1786225166666666,0.32218897408866853,0.15692452424157788,0.6428571428571429,0.22677444192278584,0.3968973029077809
Apical Surface,Rose,16,73,3.0559488,3.0927337767123286,-0.20407488584839437,0.07643797817741178,0.4229452054794521,0.3389464625208459,0.8239046568895341
Hedgehog Signaling,Gide,40,33,2.2239492325,2.189081209090909,0.08869338370873348,0.055358428305239495,0.5212121212121212,0.7605155260728111,0.8090590702902246
Hedgehog Signaling,Riaz,10,41,2.39943122,2.4043060341463414,-0.015020511823697864,0.12439254610422928,0.4951219512195122,0.9716118765704688,0.9905355168228513
Hedgehog Signaling,Hugo,14,12,1.2650231021428573,1.1003237099999998,0.2541205261598995,0.15610726396640026,0.6071428571428571,0.3680655063054846,0.40007120250596157
Hedgehog Signaling,Rose,16,73,2.77434568125,2.8599977931506846,-0.3955727668940385,0.07709792791806794,0.3613013698630137,0.08443346203322406,0.49618375715632607
Complement,Gide,40,33,2.6148132024999997,2.4000632303030307,0.45743121729894554,0.05677657479992886,0.6431818181818182,0.036681441434948205,0.3056786786245684
Complement,Riaz,10,41,3.2604863600000002,3.1350280682926828,0.33819691661766943,0.12555735772294616,0.5707317073170731,0.49894657000781095,0.9905355168228513
Complement,Hugo,14,12,1.796072135714286,1.553195255,0.3665518678230572,0.15756107709116668,0.6726190476190477,0.14268048429722283,0.3968973029077809
Complement,Rose,16,73,3.32826420625,3.3371791082191784,-0.0412423953474221,0.076208405626492,0.4897260273972603,0.9022100580229695,0.9957375828846027
Unfolded Protein Response,Gide,40,33,3.2722252049999994,3.1389207030303026,0.2702472337519194,0.055817351199865264,0.5878787878787879,0.20048314016238356,0.6682771338746119
Unfolded Protein Response,Riaz,10,41,4.08454981,4.133224429268293,-0.19032972472584067,0.1247598908831963,0.4317073170731707,0.5141278913044853,0.9905355168228513
Unfolded Protein Response,Hugo,14,12,2.5693497571428567,2.2330707499999995,0.36495565947092695,0.15753675129065184,0.6428571428571429,0.22677444192278584,0.3968973029077809
Unfolded Protein Response,Rose,16,73,4.10511305625,4.066793150684932,0.26914715195760763,0.07661495306461212,0.5753424657534246,0.34984999990126175,0.8239046568895341
PI3K/AKT/mTOR  Signaling,Gide,40,33,2.8347629175,2.7039302484848484,0.30047410094767263,0.05593883794627194,0.6022727272727273,0.1360223978766614,0.5667599911527558
PI3K/AKT/mTOR  Signaling,Riaz,10,41,3.4604583499999997,3.4332621146341467,0.12045743151426982,0.12453830505353101,0.5341463414634147,0.7487555398989953,0.9905355168228513
PI3K/AKT/mTOR  Signaling,Hugo,14,12,2.022143957142857,1.7134400500000002,0.40057847912569206,0.1581048863856267,0.6726190476190477,0.14268048429722283,0.3968973029077809
PI3K/AKT/mTOR  Signaling,Rose,16,73,3.85767415625,3.8511953178082186,0.06164741341739347,0.07622047153687742,0.4863013698630137,0.8684659515087826,0.9957375828846027
mTORC1 Signaling,Gide,40,33,3.1431546525000003,3.0100659545454547,0.2678179227117336,0.055808146075745996,0.5704545454545454,0.30524551722844184,0.7278036133956902
mTORC1 Signaling,Riaz,10,41,4.0972326500000005,4.0936537195121945,0.014391522591673275,0.12439235733021971,0.5048780487804878,0.9716118765704688,0.9905355168228513
mTORC1 Signaling,Hugo,14,12,2.4876487071428572,2.160307383333333,0.37879117819571684,0.15775112885938183,0.6488095238095238,0.2076174111548459,0.3968973029077809
mTORC1 Signaling,Rose,16,73,4.061301643749999,4.035092423287671,0.1424583110657703,0.07631526444958235,0.5308219178082192,0.7044693424719242,0.9957375828846027
E2F Targets,Gide,40,33,2.87732278,2.7724769515151517,0.20522030076836545,0.05559961742871663,0.5348484848484848,0.614042234281892,0.7278036133956902
E2F Targets,Riaz,10,41,3.6139253000000005,3.5684724195121955,0.11127930051110464,0.12451660188940067,0.5780487804878048,0.4548694138416344,0.9905355168228513
E2F Targets,Hugo,14,12,2.009557635714286,1.7368241708333336,0.3014231429650782,0.15665473624346615,0.6130952380952381,0.3413316805006916,0.3968973029077809
E2F Targets,Rose,16,73,3.8953712874999997,3.734536642465753,0.4880872827595319,0.07756776344498391,0.6626712328767124,0.042899865544229435,0.44009613708326495
Myc Targets V1,Gide,40,33,3.8749787624999996,3.775342675757576,0.19302677171272048,0.05556541998329675,0.5325757575757576,0.6375975014669288,0.7278036133956902
