term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last3_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
positive regulation of gene expression (GO:0010628),0.04710489143500535,0.04903175296043072,0.049726160155252275,0.042718081272798,0.048600314413752635,0.045776888257106324,0.04516327240847641,0.04495723766506732,0.09317489837595033,0.10580875513247234,0.043974931235442355,0.037989338097303496,0.0438745619842468
positive regulation of intracellular signal transduction (GO:1902533),0.05737089097820839,0.057768992469651566,0.05864793773748643,0.05012660208508231,0.05582866347650879,0.0561603284413997,0.05675054591919942,0.05091463254840073,0.10545956712852277,0.12037538762890623,0.049254298116768826,0.04854685495154698,0.055438264260396816
positive regulation of macromolecule metabolic process (GO:0010604),0.03723985171087153,0.039806426329861415,0.03855906827768604,0.03561759678766579,0.03861352599903862,0.037201500198860024,0.03571464119233193,0.036311476758732725,0.07737377972309797,0.09559613846747955,0.03917579324978941,0.033190703894437415,0.03876830712147585
positive regulation of nucleic acid-templated transcription (GO:1903508),0.07946874484078754,0.0788936231412137,0.07928404074342013,0.05228512583344184,0.06446382525583923,0.055485822388536936,0.05689995074693268,0.05608257541624413,0.17399261153732945,0.2075772615034181,0.087847129667222,0.060488692245084005,0.07751645814791411
positive regulation of protein phosphorylation (GO:0001934),0.036143741620454535,0.039497409179658424,0.04080221478879068,0.03692906860511963,0.036582253685413846,0.04101897311010008,0.0404650173148637,0.03352318802803399,0.18030202188493297,0.20509923884467884,0.04262391288426686,0.03650910022326116,0.03580483873897694
positive regulation of transcription by RNA polymerase II (GO:0045944),0.14337969516127963,0.14698066069850568,0.14835333888712907,0.09458091908845145,0.11222394153707325,0.10173140950231387,0.09828657429254903,0.09049745394830774,0.3400500879068978,0.2807180043361495,0.1447370204037306,0.12050211488728761,0.13908602883668666
"positive regulation of transcription, DNA-templated (GO:0045893)",0.17941719915116885,0.18441547446975107,0.1845326520977495,0.1119468395384135,0.12942841819002557,0.11991091098747092,0.11983864918005133,0.11536012964225689,0.39691050971253716,0.39567186585936803,0.18490768141816666,0.13933617154923805,0.18339105545477233
protein modification by small protein conjugation (GO:0032446),0.03948561746122263,0.03947258990255151,0.04027835611280469,0.04541277974412088,0.048105719411783945,0.04144319302077633,0.04320306336261443,0.04110676015552263,0.34777198060065684,0.3788447984414416,0.051214239746249564,0.03630507535580563,0.04757919469965626
protein phosphorylation (GO:0006468),0.05880023803509603,0.06355835629731446,0.061349044253444375,0.053535338872305084,0.06420971052000188,0.06277122659906613,0.06374667862186581,0.057230175495241405,0.6935414031114696,0.748340058845528,0.05921257797147671,0.05013118352608727,0.05149980139860015
protein ubiquitination (GO:0016567),0.06006725679725186,0.0634023023186636,0.06328402706114125,0.057353479674512584,0.05845888870315259,0.055467875603423714,0.06746077981684973,0.06350006976432984,0.5363536097762377,0.5756464129566082,0.06630273649668549,0.05350263409923883,0.06486584614495167
regulation of apoptotic process (GO:0042981),0.06429993059049514,0.06707293723890384,0.06594017696234014,0.08265600315413467,0.0869957786275802,0.08737118092402109,0.08585548802328527,0.08452741559324611,0.12232216301638359,0.11012362870237347,0.06413040545515923,0.06630968852078142,0.06865103694435541
regulation of cell migration (GO:0030334),0.06109909376573676,0.060097353968373554,0.061520445827597775,0.0447000778053315,0.05367809258510518,0.05640400209017958,0.05568405974862278,0.04810767259445625,0.17178789631986552,0.19545580385749692,0.05334688596596177,0.05315138922895162,0.04926315274670007
regulation of cell population proliferation (GO:0042127),0.06808765212016349,0.07101770239186785,0.06936672943670581,0.06815967022962015,0.0779061617607739,0.07338683345006494,0.07137005884287327,0.07121127036753958,0.11907546875525837,0.11904073205873081,0.05944220947975843,0.07582943421647648,0.06682565599813718
regulation of cellular macromolecule biosynthetic process (GO:2000112),0.04402003764006838,0.04486173318641272,0.04385385930385792,0.03905404698185375,0.03524789719258403,0.03138895759060893,0.033845256140917934,0.03298552577960916,0.10328743918906173,0.10172654342033546,0.04373077647228135,0.04451160517821293,0.04281677765881664
regulation of gene expression (GO:0010468),0.09871828612547807,0.10240945298574544,0.10137654494595613,0.08649973567679634,0.08625327928463605,0.08463810667425209,0.08754959355513536,0.08428959118404394,0.1634328747906682,0.20014620581595216,0.09818412218250193,0.09301782836380351,0.10590186270489635
regulation of intracellular signal transduction (GO:1902531),0.041671352155169164,0.04325148744832695,0.04224651704673068,0.04333104644695974,0.04219680356984802,0.03843771182492483,0.04469275510900236,0.044910099422744376,0.2670376402146165,0.2660968584704336,0.045676770326518096,0.047088249066194354,0.04189923142889253
regulation of transcription by RNA polymerase II (GO:0006357),0.321088975154732,0.3327715090648104,0.3328181424416493,0.18022347035161845,0.2152522429401846,0.17526131632539782,0.18368311308143453,0.17458208576260986,0.7089174154766889,0.7135825398800912,0.36461975324122126,0.30567424855711944,0.29701897883065076
"regulation of transcription, DNA-templated (GO:0006355)",0.32374967258266685,0.3303957083065212,0.3285417427721674,0.1699571969652871,0.21169535876055895,0.16958503155333884,0.18253118815125177,0.16831105736693994,0.7011144796228267,0.7170304819930069,0.37563773868557526,0.30287338557373567,0.3105895728506175
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.04525491627821469,0.044071843183831914,0.04685230274491359,0.04220862870117906,0.04754758941548641,0.04946127191780482,0.05418282835398578,0.04448989747021854,0.3103966040663547,0.3564192517292048,0.04911827296097262,0.042629598828799145,0.04915172078518022
