token_id,gene_symbol
831,ARHGAP24
832,ARHGAP25
833,ARHGAP26
834,ARHGAP27
835,ARHGAP28
836,ARHGAP29
837,ARHGAP30
838,ARHGAP31
839,ARHGAP32
840,ARHGAP33
841,ARHGAP35
842,ARHGAP36
843,ARHGAP39
844,ARHGAP4
845,ARHGAP40
846,ARHGAP42
847,ARHGAP44
848,ARHGAP45
849,ARHGAP5
850,ARHGAP6
851,ARHGAP8
852,ARHGAP9
853,ARHGDIA
854,ARHGDIB
855,ARHGDIG
856,ARHGEF1
857,ARHGEF10
858,ARHGEF10L
859,ARHGEF11
860,ARHGEF12
861,ARHGEF15
862,ARHGEF16
863,ARHGEF17
864,ARHGEF18
865,ARHGEF19
866,ARHGEF2
867,ARHGEF25
868,ARHGEF26
869,ARHGEF28
870,ARHGEF3
871,ARHGEF33
872,ARHGEF37
873,ARHGEF38
874,ARHGEF39
875,ARHGEF4
876,ARHGEF40
877,ARHGEF5
878,ARHGEF6
879,ARHGEF7
880,ARHGEF9
881,ARID1A
882,ARID1B
883,ARID2
884,ARID3A
885,ARID3B
886,ARID3C
887,ARID4A
888,ARID4B
889,ARID5A
890,ARID5B
891,ARIH1
892,ARIH2
893,ARIH2OS
894,ARL1
895,ARL10
896,ARL11
897,ARL13A
898,ARL13B
899,ARL14
900,ARL14EP
901,ARL14EPL
902,ARL15
903,ARL16
904,ARL2
905,ARL2BP
906,ARL3
907,ARL4A
908,ARL4C
909,ARL4D
910,ARL5A
911,ARL5B
912,ARL5C
913,ARL6
914,ARL6IP1
915,ARL6IP4
916,ARL6IP5
917,ARL6IP6
918,ARL8A
919,ARL8B
920,ARL9
921,ARMC1
922,ARMC10
923,ARMC12
924,ARMC2
925,ARMC3
926,ARMC5
927,ARMC6
928,ARMC7
929,ARMC8
930,ARMC9
931,ARMCX1
932,ARMCX2
933,ARMCX3
934,ARMCX4
935,ARMCX5
936,ARMCX6
937,ARMH1
938,ARMH2
939,ARMH3
940,ARMH4
941,ARNT
942,ARNT2
943,ARPC1A
944,ARPC1B
945,ARPC2
946,ARPC3
947,ARPC4
948,ARPC5
949,ARPC5L
950,ARPIN
951,ARPP19
952,ARPP21
953,ARR3
954,ARRB1
955,ARRB2
956,ARRDC1
957,ARRDC2
958,ARRDC3
959,ARRDC4
960,ARRDC5
961,ARSA
962,ARSB
963,ARSG
