index,model,panel,gene_symbol,mean,std
16071,BRIDGE,5_cancer,C1QTNF4,7.596629965450133e-07,1.3157749066459835e-06
17549,BRIDGE,5_cancer,CYP20A1,7.589539600203726e-07,1.3145468193608839e-06
23302,BRIDGE,5_cancer,P2RX1,7.536256578004187e-07,1.3053179291956453e-06
22990,BRIDGE,5_cancer,NRAS,7.462472628669847e-07,1.2925381742948118e-06
21876,BRIDGE,5_cancer,MEI1,7.326639030468796e-07,1.2690111049489133e-06
20222,BRIDGE,5_cancer,HSPA4L,7.240789694538074e-07,1.2541415637861074e-06
14983,BRIDGE,5_cancer,AGTRAP,7.220686921936949e-07,1.2506596614332428e-06
24217,BRIDGE,5_cancer,PPIH,7.104189895003492e-07,1.2304817844763454e-06
28414,BRIDGE,5_cancer,UBXN11,6.868736065217757e-07,1.1896999848718256e-06
26631,BRIDGE,5_cancer,SOX6,6.602623462942694e-07,7.133484234946603e-07
21006,BRIDGE,5_cancer,KLK14,6.476402118822863e-07,1.1217457520047927e-06
22334,BRIDGE,5_cancer,MTMR12,6.442389860579703e-07,6.42484656598389e-07
21433,BRIDGE,5_cancer,LRRC56,6.411202860722931e-07,1.1104529092386858e-06
26958,BRIDGE,5_cancer,STOX1,6.388604792550296e-07,1.1065388090175139e-06
17748,BRIDGE,5_cancer,DENND6B,6.309104461626702e-07,1.0927689477796935e-06
17058,BRIDGE,5_cancer,CMTR2,6.002777298494793e-07,8.855661232335655e-07
17781,BRIDGE,5_cancer,DGKZ,5.770861173446484e-07,9.99542475583586e-07
19733,BRIDGE,5_cancer,GRHL2,5.760777065997087e-07,9.977958569384524e-07
21386,BRIDGE,5_cancer,LRP3,5.718913440838724e-07,9.905448643621216e-07
18654,BRIDGE,5_cancer,F5,5.205979170414879e-07,9.017020426303847e-07
19038,BRIDGE,5_cancer,FMO4,5.172759200211817e-07,7.47571850249981e-07
27808,BRIDGE,5_cancer,TMIE,5.159724342718356e-07,8.936904714638122e-07
16493,BRIDGE,5_cancer,CD2BP2,5.14828454101412e-07,8.917090396857874e-07
25445,BRIDGE,5_cancer,RSAD1,5.145444142639858e-07,7.420990388374882e-07
19618,BRIDGE,5_cancer,GPD2,5.123057672398599e-07,7.403043187573363e-07
27406,BRIDGE,5_cancer,TFF3,5.077145517055479e-07,7.322058054145827e-07
21849,BRIDGE,5_cancer,MED19,5.038692132798958e-07,8.727270777705051e-07
22757,BRIDGE,5_cancer,NGFR,5.025297294687685e-07,7.284175938106959e-07
18719,BRIDGE,5_cancer,FAM171B,5.008611805354765e-07,8.272302556457711e-07
18806,BRIDGE,5_cancer,FASTKD5,5.003567741955682e-07,8.666433548179921e-07
27385,BRIDGE,5_cancer,TEX47,4.944832502335969e-07,7.11803223669171e-07
23565,BRIDGE,5_cancer,PDCL2,4.7666554257183885e-07,8.256089379518105e-07
24330,BRIDGE,5_cancer,PRDM2,4.7506403552340574e-07,8.228350463752448e-07
20602,BRIDGE,5_cancer,ISOC1,4.7417696932114237e-07,3.851980031279264e-07
27308,BRIDGE,5_cancer,TCTA,4.7306565752658615e-07,8.193737541520099e-07
23357,BRIDGE,5_cancer,PAIP2B,4.725328316932744e-07,8.184508727371444e-07
29066,BRIDGE,5_cancer,ZFP41,4.7209779122649135e-07,8.176973605453275e-07
17494,BRIDGE,5_cancer,CUTA,4.65089829023023e-07,8.055592139511198e-07
28778,BRIDGE,5_cancer,WDR64,4.646699497171001e-07,7.278796252104752e-07
15619,BRIDGE,5_cancer,ATMIN,4.6169867577448137e-07,7.472857295924199e-07
23727,BRIDGE,5_cancer,PGR,4.6159881585713317e-07,7.995126017781849e-07
19046,BRIDGE,5_cancer,FNBP1L,4.6151179128955164e-07,7.99361870805627e-07
