method,scope,n,macro_auroc,auroc_ci_low,auroc_ci_high,macro_auprc,auprc_ci_low,auprc_ci_high,macro_brier,bootstrap_replicates
BulkFormer_147M__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5875826423270459,0.4917646615250399,0.6845010485324343,0.41765798854273123,0.35798111820356804,0.5412649719226206,0.30687601753633437,2000
BulkFormer_147M__completed__project_out,overlap_clean_evaluable_cohorts,213,0.6590877451427067,0.5709186207210765,0.7462417389312437,0.4216109853477044,0.37323795024041256,0.5531740719434469,0.2525390636676202,2000
BulkFormer_147M__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6118918891555042,0.5223215132447091,0.6946953107334624,0.39886067635869066,0.34987353228153084,0.5269983226682706,0.3672862333223878,2000
BulkFormer_147M__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6694349525998374,0.5793477320397427,0.7589693111789461,0.46858394869007053,0.40443770089866315,0.5982497167670332,0.27114564559335425,2000
BulkFormer_37M__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5868618949265458,0.4948589406426442,0.6874730189043796,0.4199530446948326,0.35578922707106564,0.5497032263473042,0.3055768363942413,2000
BulkFormer_37M__completed__project_out,overlap_clean_evaluable_cohorts,213,0.6567595854974739,0.5697054817722834,0.7398788946093072,0.41817156296371943,0.37227227130330737,0.5492438230857318,0.2520004964463523,2000
BulkFormer_37M__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6144397955498857,0.5238554586121826,0.7020911366842498,0.4008947849880648,0.3551745015167372,0.5411470945383977,0.36355639040186355,2000
BulkFormer_37M__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6705868828613567,0.5779915594299156,0.7526691235779105,0.46833049032757795,0.39842604631589873,0.5950720156966317,0.2699232088073454,2000
BulkFormer_50M__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5882702315503853,0.502486845358024,0.6792529897201214,0.3990453348238563,0.35424952515473923,0.5313338110681836,0.30736144686890116,2000
BulkFormer_50M__completed__project_out,overlap_clean_evaluable_cohorts,213,0.6561024967348055,0.5695638803251358,0.7432458965701113,0.41834795410422315,0.3719998905560032,0.5562558023797582,0.25247322785650717,2000
BulkFormer_50M__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6159341071928777,0.5263610820027876,0.7052708624416568,0.4004668557639104,0.35186755350818044,0.5372364772001478,0.3668663057313544,2000
BulkFormer_50M__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6657043201814333,0.5796875464045735,0.752346190986038,0.46177273568339566,0.3946776241966626,0.5900059638666163,0.27002311161299136,2000
BulkFormer_93M__completed__DANN,overlap_clean_evaluable_cohorts,213,0.587190354935928,0.4874363529633118,0.6855782125886326,0.4144608314348957,0.35226009342343634,0.5364540363008408,0.3201838531482788,2000
BulkFormer_93M__completed__project_out,overlap_clean_evaluable_cohorts,213,0.652696527587941,0.5611316250966059,0.7403362391033623,0.4154087962724891,0.3665817777703255,0.5552257510386531,0.2539718494715366,2000
BulkFormer_93M__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6105100031386366,0.51882907972137,0.6940540501490007,0.39683821418869397,0.3485855033066625,0.5295786648892309,0.3667808279558607,2000
BulkFormer_93M__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6693917963463569,0.5852098731214584,0.7570316913707741,0.4729830710150818,0.4080153439838249,0.6061367784061135,0.26887456792901837,2000
Raw_common_measured__DANN,overlap_clean_evaluable_cohorts,213,0.5873293999129281,0.4923038657962856,0.6793791605918862,0.4161239727863883,0.3540098585325276,0.5338052343242744,0.31689505181264604,2000
